Experiment,Scan,Median Magnitude (mm),Median Direction (deg)
20240529_exp2,20240529_exp2_nowood,0.0,0.0
20240529_exp2,20240529_exp2_wood,0.4473460477297515,-12.9064955465741
20240530_exp1,20240530_exp1_nowood,0.0,0.0
20240530_exp1,20240530_exp1_wood,0.5022596062867404,-10.32014712420559
20240603_exp1,20240603_exp1_nowood,0.0,0.0
20240603_exp1,20240603_exp1_wood,0.7786091125081632,-22.59913625816911
20240604_exp1,20240604_exp1_nowood,0.0,0.0
20240604_exp1,20240604_exp1_wood,0.7360615295979512,6.840165623532156e-12
20240605_exp1,20240605_exp1_nowood,0.0,0.0
20240605_exp1,20240605_exp1_wood,0.3354035499008594,-9.177680887372388
20240606_exp1,20240606_exp1_nowood,0.0,0.0
20240606_exp1,20240606_exp1_wood,0.7575462675988608,1.5000611746354207
20240610_exp1,20240610_exp1_nowood,0.0,0.0
20240610_exp1,20240610_exp1_wood,0.5832950806768359,0.20888799896756272
20240613_exp1,20240613_exp1_wood,0.0,0.0
20240614_exp1,20240614_exp1_nowood,0.0,0.0
20240614_exp1,20240614_exp1_wood,0.6833977801845666,-2.9192327091654144
20240617_exp1,20240617_exp1_nowood,0.0,0.0
20240617_exp1,20240617_exp1_wood,0.8248755754490164,0.11292813579210467
20240618_exp1,20240618_exp1_wood,0.0,0.0
20240618_exp2,20240618_exp2_post,0.6468513112961989,0.6013144730478464
20240618_exp2,20240618_exp2_pre,0.0,0.0
20240619_exp1,20240619_exp1_wood,0.0,0.0
20240620_exp1,20240620_exp1_wood,0.0,0.0
20240621_exp1,20240621_exp1_wood,0.0,0.0
20240621_exp2,20240621_exp2_post,24.454026500962026,-19.663359152868658
20240621_exp2,20240621_exp2_pre,0.0,0.0
20240626_exp1,20240626_exp1_nowood,0.0,0.0
20240626_exp1,20240626_exp1_remobilization,0.8464059662154727,6.887068950197515
20240626_exp1,20240626_exp1_wood,0.9426561439191319,7.372076595631446
20240627_exp1,20240627_exp1_remobilization,3.254907988986657,-21.310732537992312
20240627_exp1,20240627_exp1_wood,0.0,0.0
20240628_exp1,20240628_exp1_nowood,0.0,0.0
20240628_exp1,20240628_exp1_remobilization,3.7464574389128,135.21718161469323
20240628_exp1,20240628_exp1_wood,3.705343970054118,138.79381650295892
20240701_exp1,20240701_exp1_remobilization,0.5079504462446482,6.454041231461949
20240701_exp1,20240701_exp1_wood,0.0,0.0
20240702_exp2,20240702_exp2_pre,0.0,0.0
20240703_exp1,20240703_exp1_wood,0.0,0.0
20240703_exp2,20240703_exp2_post,0.39542917617750306,0.28406887080424414
20240703_exp2,20240703_exp2_pre,0.0,0.0
20240708_exp1,20240708_exp1_nowood,0.0,0.0
20240708_exp1,20240708_exp1_wood,0.9547066876013514,-0.11629802239562426
20240708_exp2,20240708_exp2_post,0.3587942763412097,1.429979481704485
20240708_exp2,20240708_exp2_pre,0.0,0.0
20240709_exp1,20240709_exp1_remobilization,0.27686783200475856,3.6755603905553844
20240709_exp1,20240709_exp1_wood,0.0,0.0
20240710_exp1,20240710_exp1_nowood,0.0,0.0
20240710_exp1,20240710_exp1_remobilization,8.628342029624909,17.806338778910842
